angry0,angry1,angry2,angry3,box0,box1,box2,box3,disgust0,disgust1,disgust2,disgust3,fear0,fear1,fear2,fear3,happy0,happy1,happy2,happy3,neutral0,neutral1,neutral2,neutral3,sad0,sad1,sad2,sad3,surprise0,surprise1,surprise2,surprise3
0.11,,,,"[53, 220, 108, 140]",,,,0.0,,,,0.23,,,,0.01,,,,0.55,,,,0.08,,,,0.02,,,
0.13,,,,"[53, 221, 108, 138]",,,,0.0,,,,0.16,,,,0.01,,,,0.63,,,,0.07,,,,0.01,,,
0.14,,,,"[54, 221, 106, 138]",,,,0.0,,,,0.17,,,,0.01,,,,0.59,,,,0.07,,,,0.01,,,
0.14,,,,"[56, 225, 105, 132]",,,,0.0,,,,0.2,,,,0.0,,,,0.52,,,,0.13,,,,0.01,,,
0.14,,,,"[58, 226, 102, 129]",,,,0.0,,,,0.24,,,,0.01,,,,0.48,,,,0.12,,,,0.01,,,
0.15,,,,"[58, 226, 102, 129]",,,,0.0,,,,0.24,,,,0.01,,,,0.49,,,,0.1,,,,0.01,,,
0.13,,,,"[58, 226, 103, 129]",,,,0.0,,,,0.32,,,,0.01,,,,0.43,,,,0.07,,,,0.04,,,
0.13,,,,"[58, 225, 103, 131]",,,,0.0,,,,0.45,,,,0.0,,,,0.3,,,,0.06,,,,0.05,,,
0.13,,,,"[58, 226, 102, 129]",,,,0.0,,,,0.51,,,,0.0,,,,0.17,,,,0.05,,,,0.15,,,
0.11,,,,"[59, 225, 102, 131]",,,,0.0,,,,0.45,,,,0.0,,,,0.28,,,,0.05,,,,0.1,,,
0.05,,,,"[60, 227, 100, 127]",,,,0.0,,,,0.45,,,,0.0,,,,0.32,,,,0.07,,,,0.11,,,
0.06,,,,"[57, 223, 100, 134]",,,,0.0,,,,0.34,,,,0.02,,,,0.5,,,,0.05,,,,0.03,,,
0.07,,,,"[61, 221, 102, 135]",,,,0.0,,,,0.15,,,,0.02,,,,0.69,,,,0.05,,,,0.02,,,
0.07,,,,"[61, 221, 103, 135]",,,,0.0,,,,0.14,,,,0.02,,,,0.7,,,,0.05,,,,0.02,,,
0.18,,,,"[59, 218, 107, 139]",,,,0.0,,,,0.17,,,,0.01,,,,0.58,,,,0.03,,,,0.03,,,
0.11,,,,"[62, 218, 105, 139]",,,,0.0,,,,0.29,,,,0.01,,,,0.51,,,,0.04,,,,0.04,,,
0.14,,,,"[61, 219, 103, 136]",,,,0.0,,,,0.38,,,,0.0,,,,0.37,,,,0.06,,,,0.05,,,
0.23,,,,"[61, 217, 103, 137]",,,,0.0,,,,0.34,,,,0.0,,,,0.33,,,,0.05,,,,0.04,,,
